"OldPath","NewPath","Usage"
"Resource\2D\Chat.png","Resource\画像\UI\01_会話ウィンドウ画像.png","会話表示で使用"
"Resource\2D\Save.png","Resource\画像\UI\02_セーブ画面画像.png","セーブ画面で使用"
"Resource\2D\Inventory.png","Resource\画像\UI\90_未使用候補_インベントリ画像.png","コード参照なし"
"Resource\2D\Load.png","Resource\画像\UI\91_未使用候補_ロード画面画像.png","コード参照なし"
"Resource\2D\damage.png","Resource\画像\戦闘\01_ダメージ表示画像.png","攻撃・被弾時のダメージ表示で使用"
"Resource\2D\BossLogo.png","Resource\画像\エリア表示\01_ボスエリア表示画像.png","ボスエリア表示で使用"
"Resource\2D\NormalLogo.png","Resource\画像\エリア表示\02_通常エリア表示画像.png","通常エリア表示で使用"
"Resource\2D\icon_hp_up.png","Resource\画像\ショップ\01_最大HP強化アイコン.png","ショップの最大HP強化で使用"
"Resource\2D\icon_attack_up.png","Resource\画像\ショップ\02_攻撃力強化アイコン.png","ショップの攻撃力強化で使用"
"Resource\2D\icon_speed_up.png","Resource\画像\ショップ\03_移動速度強化アイコン.png","ショップの移動速度強化で使用"
"Resource\2D\icon_evade_dist_up.png","Resource\画像\ショップ\04_回避距離強化アイコン.png","ショップの回避距離強化で使用"
"Resource\2D\icon_evade_inv_up.png","Resource\画像\ショップ\05_回避無敵時間強化アイコン.png","ショップの回避無敵時間強化で使用"
"Resource\2D\Shop.png","Resource\画像\ショップ\90_未使用候補_ショップ画像.png","コード参照なし"
"Resource\2D\rule_bg_1.png","Resource\画像\ルール画面\01_ルール画面背景１.png","ルール画面1ページ目で使用"
"Resource\2D\rule_bg_2.png","Resource\画像\ルール画面\02_ルール画面背景２.png","ルール画面2ページ目で使用"
"Resource\2D\mori.png","Resource\画像\背景\90_未使用候補_森背景画像.png","コード参照なし"
"Resource\BGM\natsuyasuminotanken.mp3","Resource\音源\BGM\01_タイトル画面BGM.mp3","タイトル画面で使用"
"Resource\BGM\MusMus-BGM-081.mp3","Resource\音源\BGM\02_ゲーム中BGM.mp3","ゲームプレイ中で使用"
"Resource\BGM\MusMus-BGM-084.mp3","Resource\音源\BGM\03_リザルト画面BGM.mp3","リザルト画面で使用"
"Resource\BGM\kamituku.mp3","Resource\音源\BGM\90_未使用候補_神つくBGM.mp3","コード参照なし"
"Resource\BGM\maou_14_shining_star.mp3","Resource\音源\BGM\91_未使用候補_シャイニングスターBGM.mp3","コード参照なし"
"Resource\BGM\MusMus-BGM-094.mp3","Resource\音源\BGM\92_未使用候補_BGM０９４.mp3","コード参照なし"
"Resource\BGM\MusMus-BGM-125.mp3","Resource\音源\BGM\93_未使用候補_BGM１２５.mp3","コード参照なし"
"Resource\BGM\MusMus-BGM-162.mp3","Resource\音源\BGM\94_未使用候補_BGM１６２.mp3","コード参照なし"
"Resource\BGM\VSQSE_1089_bird_10.mp3","Resource\音源\BGM\95_未使用候補_鳥の環境音.mp3","コード参照なし"
"Resource\BGM\VSQSE_1103_mountain_01.mp3","Resource\音源\BGM\96_未使用候補_山の環境音.mp3","コード参照なし"
"Resource\SE\se_fire_magic01.mp3","Resource\音源\SE\01_火魔法効果音.mp3","敵魔法発射時に使用"
"Resource\SE\se_swing13-1.mp3","Resource\音源\SE\02_通常攻撃効果音.mp3","プレイヤー通常攻撃で使用"
"Resource\SE\se_sword6.mp3","Resource\音源\SE\03_スライド攻撃効果音.mp3","スライド攻撃で使用"
"Resource\SE\バタンと倒れる.mp3","Resource\音源\SE\04_スライド移動効果音.mp3","スライド移動で使用"
"Resource\SE\回復魔法2.mp3","Resource\音源\SE\05_回復効果音.mp3","回復アイテム使用時に使用"
"Resource\SE\ジャンプ.mp3","Resource\音源\SE\06_ジャンプ効果音.mp3","ジャンプ時に使用"
"Resource\SE\ワープ.mp3","Resource\音源\SE\07_ワープ効果音.mp3","ワープ時に使用"
"Resource\SE\ステータス上昇魔法2.mp3","Resource\音源\SE\08_能力上昇効果音.mp3","能力上昇アイテム使用時に使用"
"Resource\SE\レジスターで精算.mp3","Resource\音源\SE\09_購入効果音.mp3","ショップ購入成功時に使用"
"Resource\SE\決定ボタンを押す7.mp3","Resource\音源\SE\10_決定効果音.mp3","メニュー決定時に使用"
"Resource\SE\メニューを開く4.mp3","Resource\音源\SE\11_メニュー効果音.mp3","メニュー操作・エラー音で使用"
"Resource\SE\maou_se_system49.mp3","Resource\音源\SE\90_未使用候補_システム効果音.mp3","コード参照なし"
"Resource\CSV\stage_objects.csv","Resource\データ\CSV\01_ステージ配置データ.csv","ステージ上の木・岩・壁などの配置で使用"
"Resource\CSV\items.csv","Resource\データ\CSV\02_アイテムデータ.csv","アイテム定義データ（現状コード参照なし）"
"Resource\Model\T.mv1","Resource\3Dモデル\キャラクターとアニメーション\01_人型キャラクターモデル.mv1","プレイヤー・通常敵の本体モデルで使用"
"Resource\Model\monster.mv1","Resource\3Dモデル\キャラクターとアニメーション\02_敵モンスターモデル.mv1","敵モンスターの本体モデルで使用"
"Resource\Model\Boss1.mv1","Resource\3Dモデル\キャラクターとアニメーション\03_ボスモデル.mv1","ボス敵の本体モデルで使用"
"Resource\Model\shop.mv1","Resource\3Dモデル\キャラクターとアニメーション\04_ショップ店員モデル.mv1","ショップ店員モデルで使用"
