Type,Model,X,Y,Z,ScaleX,ScaleY,ScaleZ,Texture,ColSize,IsRelative
StageObject,Resource/model/props/tree/01_tree.mv1,0.0,0.0,0.0,5.0,10.0,5.0,,750.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,912.9,0.0,0.0,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,-1165.9,0.0,1068.0,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,178.5,0.0,-2033.4,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,1469.5,0.0,1916.7,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,-2696.7,0.0,-477.0,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,2554.6,0.0,-1625.0,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,-854.5,0.0,3178.6,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,-1629.6,0.0,-3137.6,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,3535.5,0.0,1291.2,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,-3678.1,0.0,1518.3,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,1773.1,0.0,-3789.0,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,1310.3,0.0,4177.3,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,-3949.1,0.0,-2288.6,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,4632.8,0.0,-1018.5,1.0,1.0,1.0,,150.0,1
StageObject,Resource/model/props/tree/01_tree.mv1,-2827.3,0.0,4021.6,1.0,1.0,1.0,,150.0,1
Stage,Resource/model/props/rock/01_rock.mv1,-405.3,0.0,-1512.6,65.0,65.0,65.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-475.2,0.0,41.6,35.0,35.0,35.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,72.6,0.0,-691.2,33.0,33.0,33.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-590.1,0.0,-531.3,68.0,68.0,68.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-1016.5,0.0,-1348.9,67.0,67.0,67.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-284.9,0.0,-139.0,60.0,60.0,60.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,64.9,0.0,-74.7,42.0,42.0,42.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-311.0,0.0,-158.4,59.0,59.0,59.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,1008.4,0.0,-1613.8,42.0,42.0,42.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-24.0,0.0,62.5,47.0,47.0,47.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-215.9,0.0,-805.6,33.0,33.0,33.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,1313.2,0.0,789.0,43.0,43.0,43.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-160.0,0.0,-277.1,50.0,50.0,50.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,506.1,0.0,225.3,66.0,66.0,66.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-1261.8,0.0,22.0,53.0,53.0,53.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-894.3,0.0,1377.1,37.0,37.0,37.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-94.3,0.0,-88.0,57.0,57.0,57.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,-345.0,0.0,1128.4,57.0,57.0,57.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,274.4,0.0,-110.9,42.0,42.0,42.0,Resource/model/props/rock/02_texture.jpg,,1
Stage,Resource/model/props/rock/01_rock.mv1,612.2,0.0,-942.7,62.0,62.0,62.0,Resource/model/props/rock/02_texture.jpg,,1
StageObject,Resource/model/stage/castle_wall/01_castle_wall.mv1,0.0,0.0,0.0,10.0,10.0,10.0,,,0
