type,model_path,p1x,p1y,p1z,p2x,p2y,p2z,p3x,p3y,p3z,cr,cg,cb,ca
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,6000,0,-5000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,6000,0,-3000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,6000,0,-1000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,6000,0,1000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,6000,0,3000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,6000,0,5000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,-5000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,-3000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,-1000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,1000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,3000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,5000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/花１.mv1,5500,0,-5000,3,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/花１.mv1,5500,0,-3000,3,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/花１.mv1,5500,0,-1000,3,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/花１.mv1,5500,0,1000,3,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/花１.mv1,5500,0,3000,3,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/花１.mv1,5500,0,5000,3,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,-5000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,-3000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,-1000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,1000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,3000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-6000,0,5000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-5000,0,-6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-3000,0,-6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-1000,0,-6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,1000,0,-6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,3000,0,-6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,5000,0,-6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-5000,0,6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-3000,0,6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,-1000,0,6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,1000,0,6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,3000,0,6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/小さい木１.mv1,5000,0,6000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木１.mv1,5500,0,-4000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木１.mv1,5500,0,0,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木１.mv1,5500,0,4000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木４.mv1,-5500,0,-4000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木４.mv1,-5500,0,0,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木４.mv1,-5500,0,4000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木４.mv1,-4000,0,5500,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木４.mv1,0,0,5500,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木４.mv1,4000,0,5500,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木３.mv1,-4000,0,-5500,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木３.mv1,0,0,-5500,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木３.mv1,4000,0,-5500,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木３.mv1,5500,0,-2000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木３.mv1,5500,0,2000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木２.mv1,-5500,0,-2000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/大きい木２.mv1,-5500,0,2000,1,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/装飾/草２.mv1,0,0,0,2,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,490,0,5050,12.8,0,0,0,0,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,1490,0,5050,12.8,0,0,0,0,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,2490,0,5050,12.8,0,0,0,0,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,3490,0,5050,12.8,0,0,0,0,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,4490,0,5050,12.8,0,0,0,0,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-490,0,5050,12.8,0,0,0,0,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-1490,0,5050,12.8,0,0,0,0,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-2490,0,5050,12.8,0,0,0,0,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-3490,0,5050,12.8,0,0,0,0,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-4490,0,5050,12.8,0,0,0,0,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,490,0,-5050,12.8,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,1490,0,-5050,12.8,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,2490,0,-5050,12.8,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,3490,0,-5050,12.8,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,4490,0,-5050,12.8,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-490,0,-5050,12.8,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-1490,0,-5050,12.8,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-2490,0,-5050,12.8,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-3490,0,-5050,12.8,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-4490,0,-5050,12.8,0,0,0,3.14159,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,5050,0,490,12.8,0,0,0,1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,5050,0,1490,12.8,0,0,0,1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,5050,0,2490,12.8,0,0,0,1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,5050,0,3490,12.8,0,0,0,1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,5050,0,4490,12.8,0,0,0,1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,5050,0,-490,12.8,0,0,0,1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,5050,0,-1490,12.8,0,0,0,1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,5050,0,-2490,12.8,0,0,0,1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,5050,0,-3490,12.8,0,0,0,1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,5050,0,-4490,12.8,0,0,0,1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-5050,0,490,12.8,0,0,0,-1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-5050,0,1490,12.8,0,0,0,-1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-5050,0,2490,12.8,0,0,0,-1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-5050,0,3490,12.8,0,0,0,-1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-5050,0,4490,12.8,0,0,0,-1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-5050,0,-490,12.8,0,0,0,-1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-5050,0,-1490,12.8,0,0,0,-1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-5050,0,-2490,12.8,0,0,0,-1.5708,0,,,,,
